cluster_id	label
3988	Osobowość i różnice międzyosobnicze zwierząt
38	Spektroskopia LIBS
31081	Generowanie wyższych harmonicznych
2235	Plazma niskotemperaturowa
1539	Laserowa spektroskopia absorpcyjna
756	Kwantowe układy optomechaniczne
23565	Obliczenia kwantowe w układach fotonicznych
6490	Fotonika topologiczna
1050	Szerokopasmowe absorbery metamateriałowe
958	Lasery włóknowe wysokiej mocy
4230	Czujniki światłowodowe
8203	Rozproszone wykrywanie akustyczne (DAS)
503	Kubity nadprzewodnikowe
11245	Magnetometry pompowane optycznie (OPM)
724	Metapowierzchnie i metasoczewki
444	Orbitalny moment pędu światła
457	Metamateriały termiczne
16432	Podwodna komunikacja bezprzewodowa
10916	Obrazowanie w ośrodkach rozpraszających
1945	Wyświetlacze holograficzne
3172	Materia aktywna
